1;1;Logo;5000;Terminé;2026-04-01
2;2;Site Web;50000;En cours;2026-04-02
3;3;Flyer;3000;Terminé
4;4;Affiche publicitaire;4000;Terminé;2026-04-03
5;5;E-commerce;80000;En cours;2026-04-03
6;6;Carte de visite;2000;Terminé;2026-04-04
7;7;UI/UX;30000;En cours;2026-04-04
8;8;Montage vidéo;10000;Terminé;2026-04-05
9;9;Banderole;3500;En attente;2026-04-05
10;10;Réseaux sociaux;3000;Terminé;2026-04-06
11;11;Logo;5000;Terminé;2026-04-06
12;12;Flyer;2500;En cours;2026-04-06
13;13;Site Web;50000;En cours;2026-04-07
14;14;Montage vidéo;10000;En attente;2026-04-07
15;15;Affiche publicitaire;4000;Terminé;2026-04-07
16;16;UI/UX;30000;En cours;2026-04-08
17;17;Logo;5000;Terminé;2026-04-08
18;18;E-commerce;80000;En cours;2026-04-08
19;19;Carte de visite;2000;Terminé;2026-04-09
20;20;Flyer;2500;En attente;2026-04-09
21;21;Site Web;50000;En cours;2026-04-09
22;22;Réseaux sociaux;3000;Terminé;2026-04-10
23;23;Banderole;3500;En cours;2026-04-10
24;24;Logo;5000;Terminé;2026-04-10
25;25;Montage vidéo;10000;En cours;2026-04-11
26;26;Affiche publicitaire;4000;Terminé;2026-04-11
27;27;UI/UX;30000;En attente;2026-04-11
28;28;Site Web;50000;En cours;2026-04-12
29;29;E-commerce;80000;Terminé;2026-04-12
30;30;Flyer;2500;En cours;2026-04-12
31;31;Logo;5000;Terminé;2026-04-13
32;32;Carte de visite;2000;En cours;2026-04-13
33;33;Réseaux sociaux;3000;Terminé;2026-04-13
34;34;Banderole;3500;En attente;2026-04-14
35;35;Montage vidéo;10000;En cours;2026-04-14
36;36;UI/UX;30000;Terminé;2026-04-14
37;37;Site Web;50000;En cours;2026-04-15
38;38;E-commerce;80000;En attente;2026-04-15
39;39;Logo;5000;Terminé;2026-04-15
40;40;Flyer;2500;En cours;2026-04-15
41;41;Affiche publicitaire;4000;Terminé;2026-04-15
42;42;Carte de visite;2000;En cours;2026-04-15
43;43;Réseaux sociaux;3000;Terminé;2026-04-15
44;44;Banderole;3500;En cours;2026-04-15
45;45;Montage vidéo;10000;En attente;2026-04-15
46;46;UI/UX;30000;Terminé;2026-04-15
47;47;Site Web;50000;En cours;2026-04-15
48;48;E-commerce;80000;Terminé;2026-04-15
49;49;Logo;5000;En cours;2026-04-15
